Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.225,-1.11022302462516E-16,-0.125,0,0,0,66.9375,1.7431640625,-3.78458838342273E-17,-7.7412035115465E-18,1.478203125,9.94729441762504E-34,2.5241015625,0,0,0,0,0,0,package://Rover/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Rover/meshes/base_link.STL,,Body-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_leg_upper,-0.194165747411793,-0.112389539399822,-0.000731351711592554,0,0,0,1.93248346185159,0.0330489550335704,-0.0318954932035645,9.8708775108311E-05,0.126428004084038,0.000159249238895126,0.159014173585941,0,0,0,0,0,0,package://Rover/meshes/left_leg_upper.STL,1,1,1,1,0,0,0,0,0,0,package://Rover/meshes/left_leg_upper.STL,,left_out_frame_1-1,Origin_base_to_left_leg_upper,Axis_base_to_left_leg_upper,base_to_left_leg_upper,fixed,-0.35,0.27,-0.12,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
left_front_wheel,0,0,-0.063051,0,0,0,1.9382,0.016737,-4.3368E-18,-4.7847E-18,0.016737,-3.3107E-19,0.027927,0,0,0,0,0,0,package://Rover/meshes/left_front_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Rover/meshes/left_front_wheel.STL,,wheel_lf-1,Origin_lf,Axis_lf,lf,continuous,-0.55,-0.4,0.03,3.1416,0,-2.7485,left_leg_upper,0,0,1,60,20,,,,,0.6,1,,,,
left_leg_lower,-3.20988925231469E-08,-0.10997054731385,9.21239687645681E-07,0,0,0,1.1716591412149,0.00566372324013256,2.07742015864643E-08,-1.93567838383602E-08,0.0308249227849267,-1.50396529209713E-08,0.0361793132911607,0,0,0,0,0,0,package://Rover/meshes/left_leg_lower.STL,1,1,1,1,0,0,0,0,0,0,package://Rover/meshes/left_leg_lower.STL,,left_out_frame_2-1,Origin_left_leg_upper_to_lower,Axis_left_leg_upper_to_lower,left_leg_upper_to_lower,continuous,0.2,-0.2,0,0,0,0,left_leg_upper,0,0,1,0,0,-1,1,,,,,,,,
left_mid_wheel,4.1633E-17,0,-0.063051,0,0,0,1.9382,0.016737,-2.6563E-18,-2.7439E-18,0.016737,8.0243E-19,0.027927,0,0,0,0,0,0,package://Rover/meshes/left_mid_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Rover/meshes/left_mid_wheel.STL,,wheel_lm-1,Origin_lm,Axis_lm,lm,continuous,-0.25,-0.2,0.03,3.1416,0,-1.6099,left_leg_lower,0,0,1,60,20,,,,,0.6,1,,,,
left_back_wheel,0,0,-0.063051,0,0,0,1.9382,0.016737,-2.6021E-18,-8.0184E-18,0.016737,-3.2234E-19,0.027927,0,0,0,0,0,0,package://Rover/meshes/left_back_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Rover/meshes/left_back_wheel.STL,,wheel_lb-1,Origin_lb,Axis_lb,lb,continuous,0.25,-0.2,0.0299999999999998,3.14159265358979,0,-2.74849784316328,left_leg_lower,0,0,1,60,20,,,,,0.6,1,,,,
right_leg_upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://Rover/meshes/right_leg_upper.STL,1,1,1,1,0,0,0,0,0,0,package://Rover/meshes/right_leg_upper.STL,,right_out_frame_1-2,Origin_base_to_right_leg_upper,Axis_base_to_right_leg_upper,base_to_right_leg_upper,fixed,-0.35,-0.27,-0.12,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
right_front_wheel,-1.1102E-16,-8.3267E-17,-0.063051,0,0,0,1.9382,0.016737,3.8392E-18,-1.3175E-18,0.016737,3.5572E-19,0.027927,0,0,0,0,0,0,package://Rover/meshes/right_front_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Rover/meshes/right_front_wheel.STL,,wheel_rf-1,Origin_rf,Axis_rf,rf,continuous,-0.55,-0.4,-0.0299999999999999,0,0,0,right_leg_upper,0,0,1,60,20,,,,,0.6,1,,,,
right_leg_lower,-3.20988916349685E-08,-0.10997054731385,9.21239687534658E-07,0,0,0,1.1716591412149,0.00566372324013256,2.07742015892293E-08,-1.93567838275014E-08,0.0308249227849267,-1.50396529213661E-08,0.0361793132911607,0,0,0,0,0,0,package://Rover/meshes/right_leg_lower.STL,1,1,1,1,0,0,0,0,0,0,package://Rover/meshes/right_leg_lower.STL,,right_out_frame_2-2,Origin_right_leg_upper_to_lower,Axis_right_leg_upper_to_lower,right_leg_upper_to_lower,continuous,0.2,-0.2,0,0,0,0,right_leg_upper,0,0,1,0,0,-1,1,,,,,,,,
right_mid_wheel,5.5511E-17,-1.3878E-17,-0.063051,0,0,0,1.9382,0.016737,3.3352E-18,-7.5184E-18,0.016737,3.6161E-19,0.027927,0,0,0,0,0,0,package://Rover/meshes/right_mid_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Rover/meshes/right_mid_wheel.STL,,wheel_rm-1,Origin_rm,Axis_rm,rm,continuous,-0.25,-0.2,-0.03,0,0,0,right_leg_lower,0,0,1,60,20,,,,,0.6,1,,,,
right_back_wheel,-1.1102E-16,6.9389E-17,-0.063051,0,0,0,1.9382,0.016737,3.0358E-18,-1.3146E-18,0.016737,3.1595E-19,0.027927,0,0,0,0,0,0,package://Rover/meshes/right_back_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Rover/meshes/right_back_wheel.STL,,wheel_rb-1,Origin_rb,Axis_rb,rb,continuous,0.25,-0.2,-0.03,0,0,-0.0404094746761278,right_leg_lower,0,0,1,60,20,,,,,0.6,1,,,,
